GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.factories,AppsApiServiceFactory,10,0,0,0,3,0,3,0,3,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.dbhandler,StatusDashboardDBHandler,1319,0,50,0,279,0,50,0,25,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.dbhandler,DBHandler,234,0,20,0,47,0,19,0,9,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.dbhandler,StatusDashboardMetricsDBHandler,2556,0,186,0,433,0,124,0,22,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.dbhandler,DeploymentConfigs,97,0,0,0,36,0,22,0,22,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.dbhandler,QueryManager,116,0,4,0,28,0,6,0,4,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest,AppsApi,49,0,0,0,17,0,9,0,9,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest,SiddhiAppsDataHolder,17,0,0,0,7,0,5,0,5,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest,AppsApiService,3,0,0,0,1,0,1,0,1,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.internal.services,DashboardInitConfigComponent,203,0,30,0,65,0,22,0,7,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.internal.services,DatasourceServiceComponent,139,0,16,0,42,0,18,0,10,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.internal.services,PermissionGrantServiceComponent,341,0,32,0,80,0,31,0,15,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.impl.utils,Constants,3,0,0,0,2,0,1,0,1,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.impl,AppsApiServiceImpl,547,0,38,0,106,0,32,0,13,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.impl,AppsApiServiceImpl.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.impl,AppsApiServiceImpl.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.internal,WorkerServiceFactory,22,0,0,0,5,0,2,0,2,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.internal,WorkerStateHolder,34,0,0,0,10,0,6,0,6,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.internal,ApiResponseMessageWithCode,46,0,3,0,21,0,10,0,8,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.internal,SiddhiAppsApiProvider,59,0,4,0,18,0,10,0,8,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.internal,MonitoringDataHolder,64,0,0,0,26,0,17,0,17,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.configuration,DefaultConfigurationBuilder,50,0,2,0,15,0,5,0,4,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.dbhandler.utils,SQLConstants,3,0,0,0,2,0,1,0,1,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.dbhandler.utils,DBTableUtils,1185,0,42,0,261,0,43,0,22,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.bean.table,MetricElement,27,0,0,0,11,0,6,0,6,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.bean.table,Attribute,33,0,0,0,15,0,8,0,8,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.bean.table,TypeMetrics,56,0,6,0,16,0,8,0,5,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.bean.table,ComponentMetrics,61,0,6,0,19,0,10,0,7,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.bean,ChildApps,24,0,0,0,10,0,7,0,7,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.bean,MetricsLineCharts,15,0,0,0,6,0,3,0,3,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.bean,WorkerResponse,26,0,0,0,12,0,6,0,6,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.bean,WorkerConnectionConfigurations,26,0,0,0,12,0,6,0,6,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.bean,ManagerMetricsSnapshot,45,0,0,0,17,0,8,0,8,0
WSO2 Stream Processor - Siddhi Apps REST API,org.wso2.carbon.siddhi.apps.api.rest.bean,SiddhiAppsData,34,0,0,0,15,0,9,0,9,0
